ticker,name,primary_exchange,date,close,stage,weeks_in_stage,price_vs_ma_pct,ma_slope_pct,ma_30,sma_20,sma_50,sma_200,volume,volume_ma_20,volume_ratio,price_vs_sma20_pct,price_vs_sma50_pct,price_vs_sma200_pct
BEN,"Franklin Resources, Inc.",XNYS,2025-10-20,22.649999618530273,1,1,-0.38263772002425955,1.8530682284493945,22.736999956766763,24.098499965667724,21.913800010681154,24.907400016784667,6504546,19299940,0.33702415655178203,-6.01,3.36,-9.06
FMBH,"First Mid Bancshares, Inc. Common Stock",XNAS,2025-10-20,36.689998626708984,1,2,-0.3828325778560274,0.28590079063253876,36.83099969228109,38.046999549865724,37.34279987335205,34.2645999622345,87336,317709,0.2748930625194754,-3.57,-1.75,7.08
GEF,"Greif, Inc.",XNYS,2025-10-20,60.459999084472656,1,5,-0.38444828129818337,0.8150250830791924,60.693333562215166,63.47550048828125,61.07279998779297,63.752350177764896,467722,1023501,0.4569824553175815,-4.75,-1.0,-5.16
UNM,Unum Group,XNYS,2025-10-20,76.58000183105469,1,2,-0.39583125517869877,-0.5132784430339703,76.88433405558268,76.02350044250488,76.48920059204102,52.05800010681153,1812197,6599775,0.2745846638711168,0.73,0.12,47.11
WAY,Waystar Holding Corp. Common Stock,XNAS,2025-10-20,37.52000045776367,1,6,-0.41846114756014646,-0.03183901939166182,37.6776668548584,37.243500328063966,37.496600036621096,,3623062,10830205,0.33453309517225205,0.74,0.06,
RDN,Radian Group Inc.,XNYS,2025-10-20,34.0,1,2,-0.5062478593281939,0.677606347811458,34.17300008138021,34.76499996185303,33.705600090026856,27.665100049972533,1353488,5133398,0.26366317203536527,-2.2,0.87,22.9
BOC,Boston Omaha Corporation,XNYS,2025-10-20,13.850000381469727,1,2,-0.5147822761647819,-0.3863856077195474,13.921666653951009,13.543000078201294,14.160999946594238,,161167,844117,0.1909296933955838,2.27,-2.2,
EW,Edwards Lifesciences Corp,XNYS,2025-10-20,76.0199966430664,1,2,-0.534708133235135,0.9101388329325728,76.42866694132486,77.42350044250489,74.57520034790039,82.93870012283325,7971145,19941419,0.39972807351372536,-1.81,1.94,-8.34
DEA,"Easterly Government Properties, Inc.",XNYS,2025-10-20,22.079999923706055,1,1,-0.5420342812359582,-2.755226769683839,22.20033334096273,22.566499996185303,24.61869998931885,34.53730009078979,695658,2411321,0.28849663732037334,-2.16,-10.31,-36.07
ATLC,Atlanticus Holdings Corporation,XNAS,2025-10-20,55.650001525878906,1,2,-0.5444847281666846,1.4424967225120906,55.95466613769531,58.191999435424805,55.79319969177246,40.34939986228943,121177,314125,0.38576044568245127,-4.37,-0.26,37.92
SBRA,"Sabra Healthcare REIT, Inc.",XNAS,2025-10-20,18.110000610351562,1,3,-0.5664360675947581,0.5816999912759884,18.21316655476888,18.497749710083006,17.806499996185302,14.87182499408722,3609563,12242952,0.29482783237245397,-2.1,1.7,21.77
MBWM,Mercantile Bank Corp,XNAS,2025-10-20,44.90999984741211,1,3,-0.5715679373783018,-0.07448063125368196,45.16816660563151,46.45100002288818,45.90519989013672,38.03899998664856,132721,344953,0.384750966073639,-3.32,-2.17,18.06
ROL,"Rollins, Inc.",XNYS,2025-10-20,56.33000183105469,1,1,-0.5830029615772727,1.1900083263326577,56.660333251953126,56.95249996185303,53.86779998779297,43.53754995346069,2181269,7669435,0.28441065084976924,-1.09,4.57,29.38
CFR,Cullen/Frost Bankers Inc.,XNYS,2025-10-20,124.9000015258789,1,1,-0.5850267221919667,-0.05144544118401914,125.6349998474121,128.1859992980957,129.69720016479494,120.57505020141602,830064,1888025,0.43964672077965067,-2.56,-3.7,3.59
FFBC,First Financial Bancorp,XNAS,2025-10-20,24.350000381469727,1,2,-0.609538518764073,-0.1792749699226631,24.499333254496257,24.99749994277954,25.65779998779297,23.447300024032593,847264,2146366,0.394743487364224,-2.59,-5.1,3.85
SUI,"Sun Communities, Inc",XNYS,2025-10-20,124.73999786376953,1,2,-0.6185136475226934,-0.5527648880241636,125.5163335164388,126.30750007629395,125.98119995117187,137.70495021820068,975891,4488539,0.21741840719218436,-1.24,-0.99,-9.42
