ticker,name,primary_exchange,date,close,stage,weeks_in_stage,price_vs_ma_pct,ma_slope_pct,ma_30,sma_20,sma_50,sma_200,volume,volume_ma_20,volume_ratio,price_vs_sma20_pct,price_vs_sma50_pct,price_vs_sma200_pct
PRAX,"Praxis Precision Medicines, Inc. Common Stock",XNAS,2025-10-20,190.02000427246094,2,2,252.4861627135591,26.134702776623065,53.90850035349528,62.440250396728516,58.97630001068115,59.06803277015686,3541320,2980291,1.1882463826518954,204.32,222.2,221.7
SPRB,"Spruce Biosciences, Inc. Common Stock",XNAS,2025-10-20,129.5399932861328,2,2,245.68579950492523,37.924279506687455,37.4733337243398,40.09775035381317,37.31974852561951,143.19574947118758,218807,1544408,0.14167694029038957,223.06,247.11,-9.54
APLM,Apollomics Inc. Class A Ordinary Shares,XNAS,2025-10-20,26.93000030517578,2,2,223.63821058774275,33.13099585315379,8.321020023028057,9.159120070934296,8.688127999305726,,88062,230413,0.38219197701518576,194.02,209.96,
LYEL,"Lyell Immunopharma, Inc. Common Stock",XNAS,2025-10-20,17.31999969482422,2,2,56.04447019294294,6.089821392738809,11.099399852752686,12.09299988746643,12.240439910888671,54.104810037612914,46918,367754,0.1275798495733561,43.22,41.5,-67.99
VSCO,Victorias Secret & Co.,XNYS,2025-10-20,31.3700008392334,2,2,41.49752206277697,6.762765926595267,22.170000139872233,23.423000144958497,26.976600036621093,29.868449988365175,3084409,14251884,0.21642114123297665,33.93,16.29,5.03
PESI,"Perma-Fix Environmental Services, Inc.",XNAS,2025-10-20,14.109999656677246,2,2,35.61222142033408,6.170068123972926,10.404666709899903,11.100500011444092,10.356900024414063,8.712890515327453,403195,894835,0.4505802745757598,27.11,36.24,61.94
FORM,FormFactor Inc.,XNAS,2025-10-20,43.52000045776367,2,2,34.66179993280469,4.151940364310612,32.31799996693929,34.02899990081787,34.86459995269775,36.775200052261354,1411855,3850869,0.36663283014820813,27.89,24.83,18.34
MIND,"MIND Technology, Inc. Common Stock (DE)",XNAS,2025-10-20,10.529999732971191,2,2,33.13945827512475,5.228845124085847,7.908999983469645,8.799999976158142,7.566900000572205,6.821851849555969,896696,1299467,0.6900490739664801,19.66,39.16,54.36
PATH,"UiPath, Inc.",XNYS,2025-10-20,16.280000686645508,2,2,31.839660442205535,4.803801899944685,12.348333295186361,12.56099991798401,12.658800029754639,16.819749965667725,39868667,79253031,0.5030554225743114,29.61,28.61,-3.21
SHOO,Steven Madden Ltd,XNAS,2025-10-20,34.9900016784668,2,2,30.72148385764251,3.9885785778327048,26.766833305358887,28.6497501373291,31.379900016784667,35.97497500419617,2658010,7232993,0.3674841106579254,22.13,11.5,-2.74
XPRO,Expro Group Holdings N.V.,XNYS,2025-10-20,12.800000190734863,2,2,27.447729345353235,2.748601661285127,10.043333260218303,10.922999906539918,10.978999967575072,16.022649958133698,1736672,5754301,0.30180416352915845,17.18,16.59,-20.11
CDRE,"Cadre Holdings, Inc.",XNYS,2025-10-20,41.380001068115234,2,2,24.506051060958324,3.007386405842079,33.23533331553141,33.82849979400635,33.5953999710083,29.01074993133545,471808,1509016,0.312659375381043,22.32,23.17,42.64
SMCI,"Super Micro Computer, Inc. Common Stock",XNAS,2025-10-20,54.81999969482422,2,2,24.229043419005624,4.334650774237912,44.12816696166992,47.969500350952146,40.98490016937256,32.337030386924745,74569258,163433818,0.45626577725792344,14.28,33.76,69.53
XENE,Xenon Pharmaceuticals Inc,XNAS,2025-10-20,43.040000915527344,2,2,23.452308011032635,2.1985327510695,34.86366647084554,35.927499771118164,36.46819995880127,37.0869499206543,1524692,4560579,0.33431983088112277,19.8,18.02,16.05
WFRD,Weatherford International plc Ordinary Shares,XNAS,2025-10-20,66.72000122070312,2,2,22.7918974054475,2.6156341771322054,54.33583374023438,59.05575065612793,59.98250038146973,67.05722498893738,1795949,4508523,0.3983453117573094,12.98,11.23,-0.5
SNDX,"Syndax Pharmaceuticals, Inc.",XNAS,2025-10-20,15.199999809265137,2,2,21.915353251391235,2.157703448676274,12.467666625976562,13.071499967575074,13.283199977874755,18.5139999961853,7237629,10449435,0.6926335251618867,16.28,14.43,-17.9
CRNC,Cerence Inc. Common Stock,XNAS,2025-10-20,11.899999618530273,2,2,21.486418156164962,3.081645296896259,9.795333337783813,10.329999971389771,10.131199975013732,18.532725003957747,2728270,9961763,0.27387421282758884,15.2,17.46,-35.79
AAPL,Apple Inc.,XNAS,2025-10-20,262.7699890136719,2,2,19.939561956655673,2.0118139224722826,219.08533325195313,228.22949981689453,225.66260040283203,187.85900009155273,137178777,256220954,0.5353924995533348,15.13,16.44,39.88
DAL,"Delta Air Lines, Inc.",XNYS,2025-10-20,62.31999969482422,2,2,18.555719881509695,3.0086482310579887,52.56599998474121,56.285000038146975,55.739199752807615,43.745299901962284,13553316,43534578,0.3113230131689803,10.72,11.81,42.46
CSTL,"Castle Biosciences, Inc. Common Stock",XNAS,2025-10-20,23.399999618530273,2,2,17.87522178678727,1.9480792613395987,19.851499970753988,20.62899990081787,22.379500102996825,23.950499906539918,563671,2140862,0.2632916087071469,13.43,4.56,-2.3
AAON,Aaon Inc,XNAS,2025-10-20,102.29000091552734,2,2,17.39434875924455,2.9705347681704146,87.1336669921875,84.33549995422364,97.70000030517578,70.87942581176758,978906,5888830,0.16623098306454762,21.29,4.7,44.32
